,S_No,Sentence,Negative_Sentiment_Score,Positive_Sentiment_Score,Neutral_Sentiment_Score,COMPOUND_SCORE
5775,5776,PARIS HILTON SUCKS!,0.583,0.0,0.417,-0.4199
5776,5777,Three days at Purdue with three awesome people.,0.0,0.369,0.631,0.6249
5777,5778,i'm currently watching love at harvard on youtube(,0.0,0.375,0.625,0.6369
5778,5779,The seattle scene is pretty amazing too....,0.0,0.583,0.417,0.7906
5779,5780,Awesome diner here @ Purdue...,0.0,0.577,0.423,0.6249
5780,5781,I really want a Core 2 Duo MacBook Pro..,0.0,0.242,0.758,0.1513
5781,5782,"i think if i hate boston, ill just disappear to california for the summers...",0.483,0.0,0.517,-0.8126
5782,5783,i love shanghai too =).,0.0,0.583,0.417,0.6369
5783,5784,American Airlines sucks!!!.,0.0,0.0,1.0,0.0
5784,5785,the beautiful Harvard grad â€”..,0.0,0.494,0.506,0.5994
5785,5786,i strongly dislike united airlines!!..,0.286,0.604,0.11,0.4374
5786,5787,"This means we beat out schools like MIT, which is amazing for a relatively small, unassuming lil'IS department.",0.0,0.296,0.704,0.743
5787,5788,I hate paris hilton too!,0.571,0.0,0.429,-0.6114
5788,5789,haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!,0.0,0.669,0.331,0.8433
5789,5790,I've prayed and been praying that God bless the UCLA Taekwondo program and let me do His work through it.,0.0,0.303,0.697,0.7506
5790,5791,boston college is good too < 33.,0.0,0.367,0.633,0.4404
5791,5792,cuz you came to visit me and show my your amazing macbook!!,0.0,0.285,0.715,0.658
5792,5793,I love ucla.,0.0,0.808,0.192,0.6369
5793,5794,Allstate and other insurers are at risk by ensuring people who make dumb choices.,0.292,0.114,0.595,-0.5106
5794,5795,but we still love UCLA!..,0.0,0.604,0.396,0.7959
5795,5796,I have loved Tom Cruise since Risky Business...,0.168,0.364,0.467,0.4767
5796,5797,"Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!",0.069,0.493,0.438,0.9653
5797,5798,The American Express commercial with M. Night Shyamalan was great.:).,0.0,0.0,1.0,0.0
5798,5799,"Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is.",0.0,0.419,0.581,0.8779
5799,5800,"Just like I hate Capital one and Compass bank, I now hate The Hartford.(",0.392,0.132,0.476,-0.7096
5800,5801,I LOVE Seattle!!,0.0,0.847,0.153,0.7592
5801,5802,ata sucks!,0.736,0.0,0.264,-0.4199
5802,5803,"As much as I love the Lakers and Kobe, I still have to state the facts...",0.0,0.244,0.756,0.6369
5803,5804,"Today, I remembered how particularly sad it is that the details of Angelina Jolie's pregnancy, or Jennifer Aniston's latest living arrangement must be screamed out at hapless grocery shoppers the world over.",0.224,0.0,0.776,-0.796
5804,5805,I LOVE MY TOYOTA COROLLA S! Except...,0.0,0.511,0.489,0.7371
5805,5806,"The history here goes back to the summer of 1992, when the San Francisco Giants were terrible.",0.162,0.0,0.838,-0.4767
5806,5807,"Traffic in Seattle does stink, but it's a beautiful city to be stuck in.",0.221,0.272,0.508,0.4588
5807,5808,Things I will miss at UIUC...-CRH # 1.,0.242,0.0,0.758,-0.1531
5808,5809,"Though I want a Vios / Honda Jazz badly, I think I'll be fine in a 2nd hand Myvi or Waja or Gen 2 or anything decent.",0.117,0.239,0.644,0.296
5809,5810,MIT's Naxos Music Library subscription is AWESOME..,0.0,0.0,1.0,0.0
5810,5811,"Wow, having XP on my MacBook would be awesome...",0.0,0.505,0.495,0.7983
5811,5812,stupid lakers.....,0.773,0.0,0.227,-0.5267
5812,5813,I told her that UCLA is excellent for both...,0.0,0.346,0.654,0.5719
5813,5814,Cs: I've heard San Francisco is beautiful..,0.0,0.0,1.0,0.0
5814,5815,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",0.13,0.076,0.794,-0.3595
5815,5816,i love angelina jolie.,0.0,0.677,0.323,0.6369
5816,5817,"i dont care what people say, but i actually love paris hilton.....",0.116,0.371,0.512,0.7172
5817,5818,"But even more, I love the Geico commercial with the caveman in the airport.",0.0,0.272,0.728,0.6697
5818,5819,I can see why he might have had problems with Karen but Toyota Alexa is useless and Jo is MENTAL!!!,0.274,0.0,0.726,-0.7526
5819,5820,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
5820,5821,So Brad congrats you made the I hate Hillary Clinton List.,0.241,0.239,0.52,-0.0056
5821,5822,I love ucla.,0.0,0.808,0.192,0.6369
5822,5823,"I still love the Lakers best, though!)..",0.0,0.685,0.315,0.8655
5823,5824,"Lol the other day this super ugly fat girl who i have never even talked to before said i looked like a paris hilton wanna-be, i was like wow thanks i love paris hilton!",0.069,0.493,0.438,0.9653
5824,5825,I also need a Volkswagen van..,0.0,0.0,1.0,0.0
5825,5826,GEICO is a GREAT ride.,0.0,0.617,0.383,0.7034
5826,5827,Stupid UCLA....,0.773,0.0,0.227,-0.5267
5827,5828,"On a lighter note, I love my macbook.",0.0,0.457,0.543,0.6369
5828,5829,have an awesome time at purdue!..,0.0,0.468,0.532,0.6588
5829,5830,"Paris Hilton â€“ Sexy, relevant to a different kind of Bar...",0.0,0.274,0.726,0.5267
5830,5831,stupid kids and their need for Honda emblems):,0.327,0.0,0.673,-0.5267
5831,5832,Lakers are stinking it up big time.,0.362,0.0,0.638,-0.5267
5832,5833,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
5833,5834,"I definitely slept in my coat, but I slept really comfortably, because I had my awesome purdue blanket my mommy made me, and my own pillow.....",0.0,0.368,0.632,0.9125
5834,5835,Shanghai is beautiful ~..,0.0,0.565,0.435,0.5994
5835,5836,i love in seattle..,0.0,0.677,0.323,0.6369
5836,5837,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
5837,5838,"either or, not too big though, I think Angelina Jolie's are unattractive.",0.225,0.0,0.775,-0.4404
5838,5839,"The citizens and government of San Francisco are still stupid, but at least they can legally defend themselves...",0.111,0.081,0.808,-0.1531
5839,5840,Awesome diner here @ Purdue...,0.0,0.577,0.423,0.6249
5840,5841,"XD In addition to having a Beatle house, a nice thing in itself, that would also mean having a house in London, which would be just as awesome! -- says my Anglophilic side.",0.0,0.303,0.697,0.914
5841,5842,"I love Seattle, I hate Seattle.......",0.374,0.424,0.202,0.128
5842,5843,MIT was amazing.,0.0,0.655,0.345,0.5859
5843,5844,"I am so mad, you could de-atomize me, and you'd fine "" I hate Honda "" written on all the molecules of my body.",0.277,0.069,0.654,-0.7501
5844,5845,I hate paris hilton too!,0.571,0.0,0.429,-0.6114
5845,5846,boston college is good too < 33.,0.0,0.367,0.633,0.4404
5846,5847,"yea, I want a honda anything..",0.0,0.302,0.698,0.0772
5847,5848,= D i love Tom Cruise!!!,0.0,0.717,0.283,0.7249
5848,5849,"As the lightening strook and the thunder rolled in the late evening, I drove me and my two buddies, James and Kelly, in my beautiful toyota landcruiser off into the mountains of summerland.",0.0,0.112,0.888,0.5994
5849,5850,I loved Boston and MIT so much and still do.,0.0,0.328,0.672,0.5994
5850,5851,UCLA is beautiful.,0.0,0.661,0.339,0.5994
5851,5852,The Lakers can suck me...,0.42,0.0,0.58,-0.4404
5852,5853,I also love Boston Legal...,0.0,0.583,0.417,0.6369
5853,5854,"San Francisco Coffee rocks, yo!",0.0,0.0,1.0,0.0
5854,5855,"I think Angelina Jolie is so much more beautiful than Jennifer Anniston, who, by the way, is majorly OVERRATED.",0.0,0.208,0.792,0.6659
5855,5856,stupid AAA(,0.773,0.0,0.227,-0.5267
5856,5857,"Yep, I'm still in London, which is pretty awesome: P Remind me to post the million and one pictures that I took when I get back to Markham!...",0.0,0.308,0.692,0.8687
5857,5858,and AAA can suck my left tit cus he told me i was sol.,0.195,0.0,0.805,-0.4404
5858,5859,tom cruise sucks.,0.556,0.0,0.444,-0.3612
5859,5860,London-Museums I really love the museums in London because there are a lot for me to see and they are free!,0.0,0.322,0.678,0.8436
5860,5861,then again i hate tom cruise..,0.481,0.0,0.519,-0.5719
5861,5862,Toyota is doing some amazing things with fuel economy.,0.0,0.322,0.678,0.5859
5862,5863,"Well apparently all people driving toyota 4runners are appalingly ugly, or so one would think based on him not even glancing in my direction!",0.13,0.076,0.794,-0.3595
5863,5864,I want a HONDA ACCORD!..,0.0,0.443,0.557,0.1511
5864,5865,"Angelina Jolie says that being self-destructive is selfish and you ought to think of the poor, starving, mutilated people all around the world.",0.31,0.0,0.69,-0.8402
5865,5866,"We had a hell of time getting to the Allstate Arena, but that's my awesome navigating skills again!",0.118,0.25,0.632,0.63
5866,5867,I Love Angelina Jolie.,0.0,0.677,0.323,0.6369
5867,5868,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
5868,5869,seattle sucks!!!...,0.0,0.0,1.0,0.0
5869,5870,"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!",0.167,0.241,0.592,0.3365
5870,5871,"i hate 3 paris hilton, halary duff, lindsay lohan.",0.381,0.0,0.619,-0.5719
5871,5872,I would love to go Shanghai with sister..,0.0,0.412,0.588,0.6369
5872,5873,"Well, my job at GEICO has been great so far.",0.0,0.437,0.563,0.7351
5873,5874,"If God exists, why are morons like Paris Hilton considered beautiful?.(",0.154,0.309,0.537,0.3182
5874,5875,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
5875,5876,I like Purdue University's computer lab!..,0.0,0.411,0.589,0.4199
5876,5877,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",0.089,0.142,0.769,0.2724
5877,5878,My bike is still being held hostage by stupid honda people.,0.254,0.0,0.746,-0.5267
5878,5879,well u guys kno ucla is a good school.,0.0,0.5,0.5,0.6124
5879,5880,stupid lakers should have beat suns.....,0.405,0.0,0.595,-0.5267
5880,5881,"ITASA at UIUC Goodness, ITASA was quite excellent...",0.0,0.3,0.7,0.4588
5881,5882,"as title, tho i hate london, i did love alittle bit about london..",0.219,0.249,0.533,0.128
5882,5883,UCLA is beautiful.,0.0,0.661,0.339,0.5994
5883,5884,"I LOVE San Francisco, it is one of my favorite cities.",0.0,0.498,0.502,0.8374
5884,5885,Honda is using sponsorship of podcasts from The Weather Channel to promote their line of hybrid and other environmentally friendly cars and vehicles.,0.0,0.216,0.784,0.7003
5885,5886,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
5886,5887,"When I saw the letter that said 19,000 people applied, I no longer feel so crappy about the Harvard thing.",0.299,0.0,0.701,-0.7793
5887,5888,"Wow, having XP on my MacBook would be awesome...",0.0,0.505,0.495,0.7983
5888,5889,BOSTON SUCKS!!!,0.771,0.0,0.229,-0.5229
5889,5890,I love the Toyota Prius.,0.0,0.583,0.417,0.6369
5890,5891,Angelina Jolie is beautiful < 3...,0.0,0.494,0.506,0.5994
5891,5892,stupid lakers should have beat suns.....,0.405,0.0,0.595,-0.5267
5892,5893,and i blame angelina jolie!,0.473,0.0,0.527,-0.4003
5893,5894,"I should remind that self that my boring green'96 Toyota Camry has 230k on the odometer, hasn't been to get a tune-up in over a year -- poor thing;",0.184,0.0,0.816,-0.6597
5894,5895,I need to pay Geico and a host of other bills but that is neither here nor there.,0.074,0.0,0.926,-0.0516
5895,5896,dude i love the lakers.,0.0,0.583,0.417,0.6369
5896,5897,MIT was amazing.,0.0,0.655,0.345,0.5859
5897,5898,Way to go stupid Lakers..,0.459,0.0,0.541,-0.5267
5898,5899,". yeah, so the lakers lost, lakers suck, etc, i get it guys.",0.349,0.14,0.511,-0.5046
5899,5900,"I'm a big fan of Lakers, so I kind of have all the schedule for this season which it's end in april...",0.0,0.108,0.892,0.3182
5900,5901,I like Tom Cruise and will boycott Paramount Pictures..,0.213,0.231,0.556,0.0516
5901,5902,london sucks....,0.0,0.0,1.0,0.0
5902,5903,"Mind you, I blame the mother mit der early toilet training.",0.211,0.0,0.789,-0.34
5903,5904,Boston driving sucks...,0.0,0.0,1.0,0.0
5904,5905,so annoying stupid London Transit pisses me off!!!!,0.672,0.0,0.328,-0.8817
5905,5906,Love ko na nga ata.,0.0,0.512,0.488,0.6369
5906,5907,i love in seattle..,0.0,0.677,0.323,0.6369
5907,5908,We need Hillary Clinton to be our President in 2008!..,0.0,0.0,1.0,0.0
5908,5909,"I love Harvard, I love fatalism.",0.145,0.764,0.091,0.8316
5909,5910,"Jennifer Aniston is awesome, Angelina Jolie is dumb.....",0.0,0.369,0.631,0.6249
5910,5911,haha i love you ashley ur ahhh-mmmm-aaa-zzzz-ing!!!,0.0,0.669,0.331,0.8433
5911,5912,the stupid Harvard Comp is Halloween weekend!!..,0.399,0.0,0.601,-0.6103
5912,5913,I'm beginning to really distrust Toyota dealerships.,0.34,0.0,0.66,-0.4754
5913,5914,"Although Tonegawa's critics were disappointed with MIT's previous handling of the case, his resignation as director is likely to help ease tensions...",0.253,0.175,0.572,-0.3182
5914,5915,i'm currently watching love at harvard on youtube(,0.0,0.375,0.625,0.6369
5915,5916,"boston kinda sucked, but my cousin erica in connecticut and my auntie pearl and uncle milin were cool.",0.089,0.142,0.769,0.2724
5916,5917,This is clearly intended to make American Airlines look negligent.,0.0,0.231,0.769,0.4019
5917,5918,Purdue is a stressful place to be.,0.398,0.0,0.602,-0.5106
5918,5919,THIS SONG SUCKSSSSSSS i hate paris hilton.....,0.425,0.0,0.575,-0.5719
5919,5920,but the macbook looks so awesome.,0.0,0.596,0.404,0.8542
5920,5921,anyways i loved beijing as much as i loved shanghai.,0.0,0.565,0.435,0.8316
5921,5922,I'm beginning to really distrust Toyota dealerships.,0.34,0.0,0.66,-0.4754
5922,5923,"But, Lord do I hate Angelina Jolie....",0.425,0.0,0.575,-0.5719
5923,5924,Shanghai is beautiful ~..,0.0,0.565,0.435,0.5994
5924,5925,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,0.288,0.0,0.712,-0.8173
5925,5926,My little Honda rocks!..,0.0,0.0,1.0,0.0
5926,5927,Funny that harvard was almost more stressful than MY AUDITION!,0.249,0.2,0.551,-0.1795
5927,5928,Oh my god I LOVE Pommes mit Mayo.,0.0,0.584,0.416,0.7925
5928,5929,"UCLA is stupid, I realized.",0.531,0.0,0.469,-0.5267
5929,5930,angelina jolie is so beautiful that i don't even have the desire to attain such exquisite beauty..,0.0,0.355,0.645,0.8267
5930,5931,My Purdue Cal friends are awesome!..,0.0,0.404,0.596,0.5255
5931,5932,"I LOVE San Francisco, it is one of my favorite cities.",0.0,0.498,0.502,0.8374
5932,5933,I find itÃ‚ Â  disturbing that the top management of Hyundai is so inept that they could not could not even sell cars as well in their(,0.109,0.129,0.762,-0.1027
5933,5934,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
5934,5935,"Stupid UCLA, deserves a good poking..",0.366,0.312,0.323,-0.128
5935,5936,well i'm gonna go enjoy being in seattle.....,0.0,0.469,0.531,0.6486
5936,5937,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!",0.0,0.292,0.708,0.834
5937,5938,"anyway, shanghai is really beautiful ï¼Œ æ»¨æ±Ÿå¤§é“æ˜¯å¾ˆçµçš„å•¦ ï¼Œ é‚£ä¸ªstarbucksæ˜¯ä¸Šæµ·é£Žæ™¯æœ€å¥½çš„starbucks ~ ~!!!",0.0,0.36,0.64,0.7243
5938,5939,"It seems to me, especially in recent episodes, that your character parallels Hillary Clinton in some respects...",0.0,0.0,1.0,0.0
5939,5940,oh! Traffic in Seattle sucks!,0.435,0.0,0.565,-0.4738
5940,5941,I love Tom Cruise.,0.0,0.677,0.323,0.6369
5941,5942,"Everyone said people in Boston are assholes, but they say people in L. A. are fake, too.",0.304,0.0,0.696,-0.7615
5942,5943,"And I normally hate "" Mastercard humor "" but the love and joy comment was priceless too.",0.094,0.504,0.402,0.9042
5943,5944,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
5944,5945,+ + + Bruce Willis hat den PrÃƒ Â¤ sident von Kolumbien verÃƒ Â¤ rgert weil er ganz arrogant das Land wegen der Koks-Dealer mit Terroristen gleichsetzt..,0.122,0.0,0.878,-0.4939
5945,5946,You are a fucking bitch and I think I may hate you even more than I hate Paris Hilton...,0.489,0.0,0.511,-0.9099
5946,5947,MISSION IMPOSSIBLE 3 -- I actually wouldn't mind seeing this movie -- I love Tom Cruise and it's always fun to kick back and just enjoy a nice popcorn movie.,0.0,0.38,0.62,0.926
5947,5948,I want a tour of London on the back of that bike!,0.0,0.15,0.85,0.1511
5948,5949,"The whole Geico thing was stupid, I was angry, hurt, so many different things at once, and on top of that I was given false information that led me to believe that you were lying.",0.312,0.042,0.647,-0.9136
5949,5950,"She also said she didnt miss her Thanksgiving because Geico was so great and he goes "" MASHED POTATOES AND CRANBERRY SAUCE!!!!",0.0,0.292,0.708,0.834
5950,5951,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
5951,5952,Seattle sucks in bumper to bumper if you're on a hill with a stick shift.,0.172,0.0,0.828,-0.3612
5952,5953,PURDUE FUCKIN ROCKS!!!,0.0,0.0,1.0,0.0
5953,5954,"San Francisco was brilliant, Sausalito...",0.0,0.487,0.513,0.5859
5954,5955,kayla moved out because boston sucks.,0.333,0.0,0.667,-0.3612
5955,5956,I'd love a Toyota van..,0.0,0.583,0.417,0.6369
5956,5957,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
5957,5958,stupid lakers....,0.773,0.0,0.227,-0.5267
5958,5959,i like the hillary clinton joke...,0.0,0.385,0.615,0.3612
5959,5960,I told her that UCLA is excellent for both...,0.0,0.346,0.654,0.5719
5960,5961,"It's about the MacBook Pro, which is awesome and I want one, but I have my beloved iBook, and believe you me, I love it..",0.0,0.437,0.563,0.9319
5961,5962,"Also, the toyota FJ Cruiser is a really ugly car.",0.31,0.0,0.69,-0.5563
5962,5963,"I LOVE San Francisco, it is one of my favorite cities.",0.0,0.498,0.502,0.8374
5963,5964,I LOVE MY TOYOTA COROLLA S! Except...,0.0,0.511,0.489,0.7371
5964,5965,"Previously, I have installed Windoze just so I can show my PC faithful friends how awesome MacBook Pro is.",0.0,0.419,0.581,0.8779
5965,5966,Which makes me think I need AAA more than AA...,0.0,0.0,1.0,0.0
5966,5967,"We arrived at the Udon shack, shanty, whatever and we unloaded from the belly of some Honda designers evil pet project.",0.18,0.0,0.82,-0.6597
5967,5968,TAKE THAT STUPID UCLA!!!!!!!..,0.604,0.0,0.396,-0.6776
5968,5969,Anyways both Capital One and American Express are very friendly nice people.,0.0,0.397,0.603,0.763
5969,5970,I need some of that geico balboa stuff..,0.0,0.0,1.0,0.0
5970,5971,"well, i had a piece of crap toyota celica but it died in portland and i got a ford ranger..",0.315,0.073,0.612,-0.7311
5971,5972,actually the only thing that i really like about purdue is my apartment....,0.0,0.202,0.798,0.4201
5972,5973,i hate the lakers..,0.649,0.0,0.351,-0.5719
5973,5974,"London yesterday kinda sucked tbh, well, the Houses of Parliament did anyway.",0.186,0.126,0.688,-0.2193
5974,5975,I love Tom Cruise!,0.0,0.692,0.308,0.6696
5975,5976,I hate Paris Hilton.,0.649,0.0,0.351,-0.5719
5976,5977,~ So london was pretty amazing.,0.0,0.708,0.292,0.8055
5977,5978,i love you my harvard boy..(,0.0,0.512,0.488,0.6369
5978,5979,From my ball I uncurl myself and unreel my back like a 1845 San Francisco Chronicle MicrofichÃ©.,0.0,0.152,0.848,0.3612
5979,5980,"stupid toyota people, now i'm sure they found out i hit a camry.",0.231,0.156,0.612,-0.2732
5980,5981,I love paris hilton...,0.0,0.677,0.323,0.6369
5981,5982,I told her that UCLA is excellent for both...,0.0,0.346,0.654,0.5719
5982,5983,"UCLA is stupid, I realized.",0.531,0.0,0.469,-0.5267
5983,5984,Purdue game was awesome!,0.0,0.594,0.406,0.6588
5984,5985,"I miss Boston so much it hurts sometimes, but I know that I'm really just missing this time of my life and the people from it...",0.242,0.0,0.758,-0.6907
5985,5986,"And I would love myself a Macbook ( to be used for number crunching, surfing, gaming, and word processing ) if not for anything than it's "" cool "" factor lol..",0.0,0.262,0.738,0.7783
5986,5987,i love my honda...,0.0,0.677,0.323,0.6369
5987,5988,"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only "" â€” the sign listed several criteria of which my crappy Honda qualified for none.",0.107,0.087,0.806,-0.1779
5988,5989,"Along the sides of exit fly-over there were parallel parking spots for "" attractive cars only "" â€” the sign listed several criteria of which my crappy Honda qualified for none.",0.107,0.087,0.806,-0.1779
5989,5990,I love Boston too!,0.0,0.692,0.308,0.6696
5990,5991,I miss Purdue right now..,0.348,0.0,0.652,-0.1531
5991,5992,AAA rocks.,0.0,0.0,1.0,0.0
5992,5993,"Well, it's because I love the New York Knicks.",0.0,0.512,0.488,0.743
5993,5994,"Probably because of her drunkenness ), and whine to Chris about how I hate Boston and how violence is never the answer.",0.364,0.0,0.636,-0.8834
5994,5995,stupid lakers....,0.773,0.0,0.227,-0.5267
5995,5996,United Airlines is a great example.,0.0,0.697,0.303,0.7845
5996,5997,"AAA's "" Q "" is catchy and an ear worm, like many of the things they've done.",0.0,0.161,0.839,0.3612
5997,5998,I love the lakers even tho Trav makes fun of me.,0.0,0.484,0.516,0.8176
5998,5999,Seattle sucks and nothing is open at 12:,0.263,0.0,0.737,-0.3612
5999,6000,"personally, i still love my 1999 toyota camry, 4 cylinder, 35mpg, gray, comfy, smooth, dependable....",0.0,0.259,0.741,0.6369
6000,6001,but the macbook looks so awesome.,0.0,0.596,0.404,0.8542
6001,6002,I absolutely love my MacBook Pro.,0.0,0.529,0.471,0.6697
6002,6003,traffic in Shanghai sucks....,0.0,0.0,1.0,0.0
6003,6004,I also like Boston.,0.0,0.556,0.444,0.3612
6004,6005,I'd like to talk today about how much I hate Paris Hilton.....,0.243,0.164,0.592,-0.296
6005,6006,I love Angelina Jolie.,0.0,0.677,0.323,0.6369
6006,6007,I love MIT.,0.0,0.808,0.192,0.6369
6007,6008,hate tom cruise now.,0.552,0.0,0.448,-0.5719
6008,6009,have an awesome time at purdue!..,0.0,0.468,0.532,0.6588
6009,6010,There is a Taste of China right by GEICO that has great food.,0.0,0.272,0.728,0.6249
6010,6011,And i've managed to cover all of my own food expenses as of thus far by working as Harvard's random task bitch -- doubly freaking sweet(,0.216,0.0,0.784,-0.765
6011,6012,"Today, when Monkee was backing out of the Milpitas Library's parking lot, some old asian man driving a Toyota was driving the wrong way.",0.123,0.044,0.833,-0.4588
6012,6013,i'm currently watching love at harvard on youtube(,0.0,0.375,0.625,0.6369
6013,6014,ps i LOVE toyota and yeh you need a HIS AND HERS....,0.0,0.354,0.646,0.7125
6014,6015,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",0.271,0.0,0.729,-0.7717
6015,6016,And the Super-cool ATA Elite Team!,0.0,0.0,1.0,0.0
6016,6017,"So clever and I prefer MasterCard over others, anyway.",0.0,0.32,0.68,0.5095
6017,6018,"but the fact that it's in Boston kind of kills it, because Boston basically sucks....",0.27,0.0,0.73,-0.7343
6018,6019,I hate Tom Cruise.,0.649,0.0,0.351,-0.5719
6019,6020,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,0.187,0.487,0.326,0.811
6020,6021,"I love those Geico caveman commercials-since the beginning with "" I'll have the roast duck with the mango salsa...",0.0,0.208,0.792,0.6369
6021,6022,I know you're way too smart and way too cool to let stupid UCLA get to you...,0.159,0.234,0.607,0.1531
6022,6023,Stupid UCLA.,0.773,0.0,0.227,-0.5267
6023,6024,I also like Boston.,0.0,0.556,0.444,0.3612
6024,6025,"I love paris hilton, britney spears and jessica simpson.",0.0,0.375,0.625,0.6369
6025,6026,ucla buffet was freakin good & i love the people there...,0.0,0.504,0.496,0.7964
6026,6027,"Okay, just kidding, I love the Indian food in London, but I have yet to find any good Mexican, so I am ready to be enlightened.",0.0,0.501,0.499,0.9439
6027,6028,Then we had stupid trivia about San Francisco and sci fi tv so we left...,0.195,0.0,0.805,-0.5267
6028,6029,hell ya i play on 2 basketball teams i love the lakers + pistons love both!!!!..,0.187,0.487,0.326,0.811
6029,6030,"I also love the new rabbits, I still want an x-terra-but Luke's will do, and I kinda like Honda Elements, but they got a bad safety rating: (..",0.145,0.276,0.579,0.319
6030,6031,I LOVE SEATTLE.,0.0,0.808,0.192,0.6369
6031,6032,Shanghai is beautiful ~..,0.0,0.565,0.435,0.5994
6032,6033,The Tomb Raider films made me hate Angelina Jolie.,0.316,0.0,0.684,-0.5719
6033,6034,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",0.07,0.079,0.85,0.0772
6034,6035,I LOVE THE LAKERS!!!.,0.0,0.717,0.283,0.7249
6035,6036,"harvard is dumb, i mean they really have to be stupid to have not wanted her to be at their school.",0.271,0.0,0.729,-0.7717
6036,6037,I also love Boston Legal...,0.0,0.583,0.417,0.6369
6037,6038,"Since the economics of my life now depend on contract work, I need a laptop and what I really want is a Dual core Thinkpad T60 but IBM only finances to business and not the private consumers.",0.0,0.039,0.961,0.0763
6038,6039,I hate Tom Cruise..,0.649,0.0,0.351,-0.5719
6039,6040,"I love the London Little People, btw.",0.0,0.457,0.543,0.6369
6040,6041,I love Paris Hilton.,0.0,0.677,0.323,0.6369
6041,6042,All san Francisco has are shitty little old apts in this price range...,0.231,0.0,0.769,-0.5574
6042,6043,boston is great: ).,0.0,0.577,0.423,0.6249
6043,6044,I so want a MacBook.,0.0,0.443,0.557,0.1513
6044,6045,"Personally, I blame Angelina Jolie, a psychologically-damaged attention-seeker who seems to have somehow convinced almost every woman on LJ that having an icon with her face on it makes you a sexually-interesting noncomformist wildchild.",0.07,0.079,0.85,0.0772
6045,6046,Seattle sucks......,0.0,0.0,1.0,0.0
6046,6047,"Oh, how I onced loved to make Harvard undergrads cry with my grammar skillz!!",0.167,0.241,0.592,0.3365
6047,6048,"Well, my job at GEICO has been great so far.",0.0,0.437,0.563,0.7351
6048,6049,That â€™ s how badly we need your ATA gene.,0.279,0.0,0.721,-0.4767
6049,6050,"I can only imagine, with the bloated egos and arrogant liberalism at Harvard, this effect was magnified...",0.176,0.0,0.824,-0.4939
6050,6051,"I like being at Purdue, not with my family.",0.0,0.263,0.737,0.3612
6051,6052,i also want a macbook pro and a new winter jacket...,0.0,0.157,0.843,0.0772
6052,6053,I also love Boston Legal...,0.0,0.583,0.417,0.6369
6053,6054,"Van Hilleary is all like, "" omfg you should elect me because i was a soldier, war in iraq is good, hillary clinton sucks, omfg i hate that bitch.",0.363,0.141,0.496,-0.8591
6054,6055,i love my purdue krew.,0.0,0.583,0.417,0.6369
6055,6056,It was really ironic that he spent the first part of class talking about his own professor at Harvard who was a pompous arrogant ass.,0.288,0.0,0.712,-0.8173
6056,6057,"lost a friend recently, Chris Handy, it isnt going to be the same without seeing him tooling around clinton in crappy Honda, with a header..(",0.203,0.11,0.687,-0.4019
6057,6058,I think at this moment i love San Francisco better than L. A..,0.0,0.441,0.559,0.7964
6058,6059,"Since then, 25 automakers including Toyota Motor Corp. and Honda Motor Co. have recalled about 370,000 defective vehicles, according to the agency.",0.121,0.0,0.879,-0.4404
6059,6060,I hate the Lakers...,0.649,0.0,0.351,-0.5719
6060,6061,Love Story At Harvard [ awesome drama!,0.0,0.682,0.318,0.8622
6061,6062,I like the Geico commercial where the cute little gecko is talking about pie and chips in the Australian accent...,0.0,0.244,0.756,0.6705
6062,6063,"i think if i hate boston, ill just disappear to california for the summers...",0.483,0.0,0.517,-0.8126
6063,6064,Hate Boston.,0.787,0.0,0.213,-0.5719
6064,6065,""" I LOVE SHANGHAI VERY MUCH!",0.0,0.6,0.4,0.6696
6065,6066,Stupid UCLA...,0.773,0.0,0.227,-0.5267
